Price_USD,Comuna,Dorms,Baths,Built Area,Total Area,Parking
2038780,Vitacura,4,4.0,402.0,795.0,5.0
2034347,Vitacura,4,4.0,356.0,812.0,5.0
1458171,LoBarnechea,5,4.0,304.0,600.0,4.0
1639445,LoBarnechea,7,6.0,380.0,1012.0,6.0
90909,LaPintana,4,1.0,66.0,100.0,1.0
1413849,LoBarnechea,4,4.0,430.0,1600.0,6.0
1493628,LoBarnechea,5,4.0,450.0,2000.0,5.0
819944,LoBarnechea,4,3.0,222.0,766.0,6.0
975068,LoBarnechea,5,5.0,210.0,500.0,
1209971,LoBarnechea,5,5.0,280.0,800.0,4.0
1773,LoBarnechea,4,4.0,200.0,831.0,6.0
1773,LoBarnechea,4,4.0,200.0,731.0,
1773,LoBarnechea,5,4.0,250.0,1272.0,
1773,LoBarnechea,5,4.0,350.0,950.0,10.0
576177,LoBarnechea,6,2.0,180.0,406.0,
1218836,LoBarnechea,3,3.0,250.0,1200.0,
1373960,LaReina,6,5.0,470.0,1100.0,
2659278,Vitacura,5,4.0,620.0,1600.0,12.0
1240996,LoBarnechea,4,3.0,260.0,830.0,2.0
186800,Peñaflor,3,3.0,93.0,93.0,2.0
159390,Maipú,3,2.0,61.0,176.0,3.0
317961,LaFlorida,4,3.0,174.0,209.0,2.0
93400,ElBosque,4,2.0,140.0,162.0,2.0
83437,Cerrillos,4,1.0,100.0,106.0,2.0
192902,Ñuñoa,3,1.0,100.0,100.0,2.0
125429,LaReina,3,1.0,110.0,220.0,1.0
107213,PuenteAlto,2,1.0,98.0,169.0,1.0
257064,Ñuñoa,2,2.0,70.0,,1.0
514127,Peñalolén,4,3.0,140.0,313.0,3.0
442327,Providencia,3,2.0,112.0,151.0,
621420,SanMiguel,5,3.0,245.0,630.0,
426548,SanMiguel,4,2.0,117.0,531.0,
567313,LaReina,5,4.0,160.0,286.0,3.0
250415,Pudahuel,4,3.0,108.0,217.0,2.0
766758,LaReina,4,3.0,176.0,600.0,4.0
70859,Pudahuel,2,1.0,36.0,64.0,1.0
1054847,Vitacura,7,6.0,433.0,1008.0,10.0
1329639,LoBarnechea,5,4.0,330.0,1000.0,5.0
1010526,LoBarnechea,4,5.0,260.0,1397.0,4.0
2216065,LasCondes,7,5.0,470.0,1800.0,7.0
1551245,LoBarnechea,8,6.0,500.0,1600.0,
2654846,LoBarnechea,8,7.0,692.0,2061.0,7.0
109589,Quilicura,3,2.0,85.0,90.0,1.0
675900,Colina,3,4.0,150.0,518.0,2.0
