price_usd;comuna;habitaciones;banio;area_construida;area_total
835456;Colina;5;5;330;330
704709;Colina;3;2;244;244
749030;Colina;4;4;380;380
775623;Colina;4;4;200;200
664819;Colina;3;3;204;204
766758;Colina;4;3;266;266
744598;Colina;4;4;197;197
620498;Colina;4;4;250;250
611634;Colina;3;3;193;193
585041;Colina;3;3;140;140
567313;Colina;5;4;260;260
465374;Colina;3;4;232;232
499900;Colina;3;3;140;140
545152;Colina;3;3;140;140
1218836;Colina;5;6;680;680
1196675;Colina;6;5;375;375
997229;Colina;4;4;271;271
881994;Colina;3;4;350;350
864265;Colina;4;4;354;354
833240;Colina;3;3;262;262
784487;Colina;4;4;230;230
598337;Colina;4;4;180;180
392243;Colina;3;3;173;173
881994;Colina;5;5;404;404
1019390;Colina;5;4;424;424
881994;Colina;5;3;400;400
753019;Colina;3;5;386;386
616066;Colina;5;5;272;272
558448;Colina;5;3;370;370
1662049;Colina;5;5;516;516
1041550;Colina;5;6;400;400
1329639;Colina;5;4;450;450
1218836;Colina;5;4;376;376
576177;Colina;4;4;471;471
165504;Colina;3;2;77;120
970636;Colina;4;4;250;250
212742;Colina;3;3;110;270
180822;Colina;4;4;110;162
55044;Colina;3;1;65;67
136986;Colina;2;1;110;543
930747;Colina;4;5;240;650
509252;Colina;3;3;140;460
1108032;Colina;5;5;400;5000
997229;Colina;4;4;285;800
660387;Colina;3;4;197;4800
926315;Colina;4;4;240;4800
642216;Colina;4;4;264;5017
966204;Colina;5;5;269;4485
655955;Colina;4;3;200;680
642659;Colina;3;4;140;426
157562;Colina;3;2;79;143
332410;Colina;4;3;109;400
68493;Colina;3;1;54;85
57285;Colina;3;1;64;90
675900;Colina;3;3;150;518
576177;Colina;3;2;5000;5000
84698;Colina;2;1;67;75
651523;Colina;3;3;180;427
642216;Colina;4;3;189;745
495955;Colina;3;3;140;350
87049;Colina;2;1;48;76
87173;Colina;2;1;90;105
295143;Colina;3;1;67;214
642659;Colina;4;4;152;420
638227;Colina;3;4;151;384
80946;Colina;4;1;69;75
1041550;Colina;6;5;330;1100
217174;Colina;4;3;90;120
407756;Colina;3;3;120;350
598293;Colina;6;6;396;5000
341274;Colina;3;3;140;628
